round,accuracy,auc,f1-score,loss,precision,recall
1,0.9174757281553398,0.9700277993649289,0.9112863276872877,0.7399995002931762,0.9289962981071456,0.9174757281553398
2,0.8932038834951457,0.9814713095893989,0.8893938702003047,0.5230069432443786,0.9239916098894937,0.8932038834951457
3,0.9466019417475728,0.9638083120225976,0.9416359994901561,0.4585497755448795,0.9527215765478468,0.9466019417475728
4,0.9466019417475728,0.9659300882515167,0.9416359994901561,0.4665220316173961,0.9527215765478468,0.9466019417475728
5,0.9611650485436893,0.9811388498888498,0.9556466017170954,0.4196214155086036,0.9638648045272832,0.9611650485436893
6,0.9466019417475728,0.9764186264186262,0.9414728998395474,0.4620910952392134,0.9463908822287883,0.9466019417475728
7,0.9660194174757282,0.9733565662137091,0.960136674350703,0.4395375454310075,0.9675284930350359,0.9660194174757282
8,0.970873786407767,0.9652869010011865,0.9649560795191864,0.4593139232941044,0.9721401435204726,0.970873786407767
9,0.9611650485436893,0.9652415634558491,0.9553797335350734,0.452069053950819,0.9633560473577358,0.9611650485436893
10,0.970873786407767,0.9687072740644168,0.9649560795191864,0.43821189010027545,0.9721401435204726,0.970873786407767
